id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,retirement_status,age_group,Debt_to_Income_Ratio,id.y,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,PIN_Change_Due
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,Not Retired,46-60,2.1377144197266147,4524,Visa,Debit,4344676511950444,12/2022,623,YES,2,24295,2002-09-01T00:00:00Z,2008,Yes
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,Not Retired,46-60,2.1377144197266147,2731,Visa,Debit,4956965974959986,12/2020,393,YES,2,21968,2014-04-01T00:00:00Z,2014,Yes
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,Not Retired,46-60,2.1377144197266147,42,Visa,Credit,4879494103069057,08/2024,693,NO,1,12400,2003-01-01T00:00:00Z,2012,Yes
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,Not Retired,46-60,2.1377144197266147,4659,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,28,2008-09-01T00:00:00Z,2009,Yes
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,Not Retired,46-60,2.4768814559763896,4537,Visa,Credit,4404898874682993,09/2003,736,YES,1,27500,2003-09-01T00:00:00Z,2012,Yes
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,Not Retired,46-60,2.4768814559763896,1278,Visa,Debit,4001482973848631,07/2022,972,YES,2,28508,2011-02-01T00:00:00Z,2011,Yes
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,Not Retired,46-60,2.4768814559763896,3687,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,9022,2003-07-01T00:00:00Z,2015,Yes
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,Not Retired,46-60,2.4768814559763896,3465,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,54,2010-06-01T00:00:00Z,2015,Yes
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,Not Retired,46-60,2.4768814559763896,3754,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,99,2006-07-01T00:00:00Z,2012,Yes
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,Retired,60+,0.00585371681151629,5144,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,31599,2009-10-01T00:00:00Z,2009,Yes
