"id","current_age","retirement_age","birth_year","birth_month","gender","address","latitude","longitude","per_capita_income","yearly_income","total_debt","credit_score","num_credit_cards","retirement_status","age_group","Debt_to_Income_Ratio","credit_limit_user"
825,53,66,1966,11,"Female","462 Rose Lane",34.15,-117.76,29278,59696,127613,787,5,"Not Retired","46-60",2.13771441972661,105105
1746,53,68,1966,12,"Female","3606 Federal Boulevard",40.76,-73.74,37891,77254,191349,701,5,"Not Retired","46-60",2.47688145597639,65183
1718,81,67,1938,11,"Female","766 Third Drive",34.02,-117.89,22681,33483,196,698,5,"Retired","60+",0.00585371681151629,133340
708,63,63,1957,1,"Female","3 Madison Street",40.71,-73.99,163145,249925,202328,722,4,"Retired","60+",0.809554866459938,356324
1164,43,70,1976,9,"Male","9620 Valley Stream Drive",37.76,-122.44,53797,109687,183855,675,1,"Not Retired","31-45",1.67617858087102,34900
68,42,70,1977,10,"Male","58 Birch Lane",41.55,-90.6,20599,41997,0,704,3,"Not Retired","31-45",0,47287
1075,36,67,1983,12,"Female","5695 Fifth Street",38.22,-85.74,25258,51500,102286,672,3,"Not Retired","31-45",1.9861359223301,67917
1711,26,67,1993,12,"Male","1941 Ninth Street",45.51,-122.64,26790,54623,114711,728,1,"Not Retired","18-30",2.1000494297274,17480
1116,81,66,1938,7,"Female","11 Spruce Avenue",40.32,-75.32,26273,42509,2895,755,5,"Retired","60+",0.0681032251993696,103932
1752,34,60,1986,1,"Female","887 Grant Street",29.97,-92.12,18730,38190,81262,810,1,"Not Retired","31-45",2.12783451165227,9496
192,27,66,1992,6,"Male","888 Fifth Lane",38.65,-121.25,27548,56164,15224,761,2,"Not Retired","18-30",0.271063314578734,44140
640,29,63,1990,9,"Female","8677 Littlewood Lane",40.42,-104.74,22427,45727,94016,629,1,"Not Retired","18-30",2.05602816716601,26019
1679,18,67,2002,1,"Female","829 Fourth Boulevard",41.76,-71.48,33914,69149,89214,776,1,"Not Retired","18-30",1.29017050138108,25845
1094,34,62,1985,10,"Male","74786 Jefferson Drive",44.75,-85.6,20325,41442,78833,712,3,"Not Retired","31-45",1.90224892621012,28449
